,H/A,Max Targets,Max Yards,Max Snap Percentage,Avg Targets,Avg Yards,Avg Snap Percentage,Std Targets,Std Yards,Std Snap Percentage,Line,Over,Under,Week,Opposition TE Defense,Result
0,0.0,6.0,44.0,0.46,1.5,8.333333333333334,0.21166666666666667,2.258317958127243,17.534727447743993,0.165095931708406,15.5,-105.0,-125.0,7.0,46.857142857142854,8.0
1,1.0,7.0,37.0,0.8,3.6666666666666665,16.333333333333332,0.6683333333333333,2.3380903889000244,13.647954669717608,0.13347908700117284,24.5,-115.0,-115.0,7.0,63.625,0.0
2,0.0,10.0,88.0,0.88,6.0,43.333333333333336,0.7533333333333333,2.6076809620810595,32.70270121361027,0.08164965809277262,30.5,-115.0,-115.0,7.0,58.285714285714285,22.0
3,1.0,7.0,85.0,0.87,3.1666666666666665,34.166666666666664,0.6449999999999999,2.041241452319315,30.98655622470278,0.2213368473616628,33.5,-105.0,-125.0,7.0,42.714285714285715,0.0
4,0.0,16.0,105.0,0.95,9.2,59.0,0.9259999999999999,4.54972526643093,37.993420483025744,0.026076809620810566,58.5,-115.0,-115.0,7.0,46.857142857142854,50.0
5,0.0,3.0,50.0,0.4,2.3333333333333335,21.0,0.3066666666666667,1.1547005383792515,25.11971337416094,0.0862167810425171,24.5,-115.0,-115.0,7.0,68.125,20.0
6,1.0,9.0,47.0,0.94,3.1666666666666665,20.333333333333332,0.7283333333333334,3.250640962435973,21.388470414376684,0.22292749194898923,20.5,-115.0,-115.0,7.0,52.25,52.0
7,0.0,7.0,52.0,0.77,4.8,33.0,0.726,1.9235384061671346,18.452642087245934,0.058991524815010514,33.5,-115.0,-115.0,7.0,50.857142857142854,50.0
8,0.0,10.0,65.0,0.97,5.833333333333333,29.5,0.8700000000000001,3.0605010483034745,19.745885647395003,0.06841052550594824,38.5,-125.0,-105.0,7.0,59.5,46.0
9,0.0,15.0,183.0,1.0,9.5,95.0,0.9849999999999999,4.203173404306164,66.18660488850193,0.012909944487358068,65.5,-120.0,-110.0,7.0,38.0,55.0
