Player,Prop Bets,Pos,Team,Opp,H/A,Line,Result,Over,oW/L,Under,uW/L,Week
Cameron Brate,Receiving Yards,TE,TB,LV,Away,15.5,8,-105,Loss,-125,Win,20NFL07
Chris Herndon,Receiving Yards,TE,NYJ,BUF,Home,24.5,0,-115,Loss,-115,Win,20NFL07
Dalton Schultz,Receiving Yards,TE,DAL,WAS,Away,30.5,22,-115,Loss,-115,Win,20NFL07
Darren Fells,Receiving Yards,TE,HOU,GB,Home,33.5,0,-105,Loss,-125,Win,20NFL07
Darren Waller,Receiving Yards,TE,LVR,LV,Away,58.5,50,-115,Loss,-115,Win,20NFL07
David Njoku,Receiving Yards,TE,CLE,CIN,Away,24.5,20,-115,Loss,-115,Win,20NFL07
Drew Sample,Receiving Yards,TE,CIN,CLE,Home,20.5,52,-115,Win,-115,Loss,20NFL07
Eric Ebron,Receiving Yards,TE,PIT,TEN,Away,33.5,50,-115,Win,-115,Loss,20NFL07
Evan Engram,Receiving Yards,TE,NYG,PHI,Away,38.5,46,-125,Win,-105,Loss,20NFL07
George Kittle,Receiving Yards,TE,SF,NE,Away,65.5,55,-120,Loss,-110,Win,20NFL07
Gerald Everett,Receiving Yards,TE,LAR,CHI,Home,17.5,28,-115,Win,-115,Loss,20NFL07
Greg Olsen,Receiving Yards,TE,SEA,ARI,Away,32.5,18,-115,Loss,-115,Win,20NFL07
Harrison Bryant,Receiving Yards,TE,CLE,CIN,Away,17.5,56,-115,Win,-115,Loss,20NFL07
Hayden Hurst,Receiving Yards,TE,ATL,DET,Home,35.5,68,-115,Win,-115,Loss,20NFL07
Hunter Henry,Receiving Yards,TE,LAC,JAC,Home,46.5,23,-120,Loss,-110,Win,20NFL07
Ian Thomas,Receiving Yards,TE,CAR,NO,Away,14.5,11,-115,Loss,-115,Win,20NFL07
James O'Shaughnessy,Receiving Yards,TE,JAC,LAC,Away,22.5,32,-120,Win,-110,Loss,20NFL07
Jared Cook,Receiving Yards,TE,NO,CAR,Home,44.5,32,-115,Loss,-115,Win,20NFL07
Jimmy Graham,Receiving Yards,TE,CHI,LAR,Away,30.5,31,-140,Win,110,Loss,20NFL07
Jonnu Smith,Receiving Yards,TE,TEN,PIT,Home,40.5,9,-115,Loss,-115,Win,20NFL07
Kaden Smith,Receiving Yards,TE,NYG,PHI,Away,9.5,0,-115,Loss,-115,Win,20NFL07
Logan Thomas,Receiving Yards,TE,WAS,DAL,Home,28.5,60,-115,Win,-115,Loss,20NFL07
Noah Fant,Receiving Yards,TE,DEN,KC,Home,37.5,38,-115,Win,-115,Loss,20NFL07
Richard Rodgers,Receiving Yards,TE,PHI,NYG,Home,30.5,85,-110,Win,-120,Loss,20NFL07
Rob Gronkowski,Receiving Yards,TE,TB,LV,Away,34.5,62,-115,Win,-115,Loss,20NFL07
Ryan Izzo,Receiving Yards,TE,NE,SF,Home,14.5,8,-110,Loss,-120,Win,20NFL07
T.J. Hockenson,Receiving Yards,TE,DET,ATL,Away,39.5,59,-115,Win,-115,Loss,20NFL07
Travis Kelce,Receiving Yards,TE,KC,DEN,Away,65.5,31,-115,Loss,-115,Win,20NFL07
Tyler Higbee,Receiving Yards,TE,LAR,CHI,Home,28.5,0,-115,Loss,-115,Win,20NFL07
Tyler Kroft,Receiving Yards,TE,BUF,NYJ,Away,15.5,64,-115,Win,-115,Loss,20NFL07
Will Dissly,Receiving Yards,TE,SEA,ARI,Away,17.5,38,-115,Win,-115,Loss,20NFL07
Austin Hooper,Receiving Yards,TE,CLE,PIT,Away,39.5,52,-115,Win,-115,Loss,20NFL06
Chris Herndon,Receiving Yards,TE,NYJ,MIA,Away,20.5,0,-115,Loss,-115,Win,20NFL06
Dalton Schultz,Receiving Yards,TE,DAL,ARI,Home,30.5,35,-105,Win,-125,Loss,20NFL06
